Gene	Function	Reference	Acc	HumanGeneName	Category	Evidence
DC-SCRIPT	Dendritic cell zinc finger protein	Triantis et al, 2006	NM_152625	ZNF366	TranscriptionFactors	P
Dmp1	Myb-like transcription factor	Taneja et al, 2007	NM_001079911	DMP1	TranscriptionFactors	D
E2F3a	Cell cycle regulator	Cheng et al, 2003	NM_001949	E2F3	TranscriptionFactors	D
Elf3	Ets family transcription factor	Hou et al, 2004	NM_004433	ELF3	TranscriptionFactors	D
ELYS	Embryonic large molecule derived from yolk sac	Okita et al, 2003	NM_015446	AHCTF1	TranscriptionFactors	P
ETR101	TPA-inducible, Jun-like transcription factor	Zhou et al, 2003	NM_004907	IER2	TranscriptionFactors	P
Gata-3	T-cell differentiation Factor	Corn et al, 2005	NM_001002295	GATA3	TranscriptionFactors	D
Glucocorticoid receptor	Promoter 1B of the GR	Schaff & Cidlowski, 2002	NM_000176	NR3C1	TranscriptionFactors	P
HIF-1alpha	Hypoxia-inducible factor	"Bonello et al, 2007; Belaiba et al, 2007; van Uden et al, 2008; Gorlach & Bonello, 2008"	NM_001530	HIF1A	TranscriptionFactors	D
HOXA9	Homeobox protein	Trivedi et al, 2007	NM_152739	HOXA9	TranscriptionFactors	D
IRF-1	Interferon regulatory factor-1	"Harada et al, 1994; Robinson et al, 2006"	NM_002198	IRF1	TranscriptionFactors	D
IRF-2	Interferon regulatory factor-2	Harada et al, 1994	NM_002199	IRF2	TranscriptionFactors	D
IRF-4	Interferon regulatory factor-4	"Grumont & Gerondakis, 2000; Saito et al, 2007"	NM_002460	IRF4	TranscriptionFactors	D
IRF-7	Interferon regulatory     factor -7	Lu et al, 2002	NM_001572	IRF7	TranscriptionFactors	D
IkB-a	Inhibitor of Rel/NF-kB	"Haskill et al, 1991;"	NM_020529	NFKBIA	TranscriptionFactors	D
IkB-e	Inhibitor of Rel/NF-kB	Tian et al, 2005	NM_004556	NFKBIE	TranscriptionFactors	D
junB	Proto-oncogene	Brown et al, 1995	NM_002229	JUNB	TranscriptionFactors	D
jmjD3	Histone lysine demethylase	G Natoli, pers comm	XM_043272	JMJD3	TranscriptionFactors	D
Lef1	Transcription factor in Wnt/b-catenin pathway	Yun et al, 2007	NM_016269	LEF1	TranscriptionFactors	D
LZIP	Leukocyte cell mobility	Jang et al, 2007	NM_006368	CREB3	TranscriptionFactors	D
Mail	IkB-like protein	"Shiina et al, 2001; Ito et al, 2004"	NM_001005474	NFKBIZ	TranscriptionFactors	D
nfkb2	NF-kB p100 precursor	Lombardi et al, 1995	NM_001077493	NFKB2	TranscriptionFactors	D
nfkb1	NF-kB p105 precursor	Ten et al, 1992	NM_003998	NFKB1	TranscriptionFactors	D
NLRP2	NF-kB pathway inhibitor	Fontalba et al, 2007	NM_017852	NLRP2	TranscriptionFactors	D
NURR1	Nuclear orphan receptor	McEvoy et al, 2002	NM_006186	NR4A2	TranscriptionFactors	D
Osterix	Bone transcription factor	Lu et al, 2006	AF477981	Osterix	TranscriptionFactors	D
p53	TF, Tumor suppressor	"Wu & Lozano, 1994; Schumm et al, 2006"	NM_000546	TP53	TranscriptionFactors	D
Progesterone receptor	Transcription factor	Condon et al, 2005	NM_000926	PGR	TranscriptionFactors	D
PU.1	Transcription factor	Bonadies et al, 2009	NM_001080547.1	SPI1	TranscriptionFactors	D
relb	Transcription factor	Bren et al, 2001	NM_006509	RELB	TranscriptionFactors	D
Snail	Transcription factor	"Barbera et al, 2004; Julien et al, 2007"	NM_005985	SNAI1	TranscriptionFactors	D
Sox9	Transcription factor	Murakami et al, 2000	NM_000346	SOX9	TranscriptionFactors	D
Stat5a	Transcription factor	Hinz et al, 2002	NM_003152	STAT5A	TranscriptionFactors	D
Tfec	Transcription factor	Rehli et al, 2005	NM_001018058	TFEC	TranscriptionFactors	D
Twist	Transcription repressor	"Horikawa et al, 2007; Pham et al, 2007"	NM_000474	TWIST1	TranscriptionFactors	D
WT1	Zinc finger transcription factor	"Dehbi et al, 1998; Chen & Williams, 2000"	NM_000378	WT1	TranscriptionFactors	D
YY1	Transcription factor	Wang et al, 2007	NM_003403	YY1	TranscriptionFactors	D
ABC Transporters	ATP-binding membrane transporters	Mutch et al, 2003	NM_019625	ABCB9	Enzymes	P
N-acetylglucosaminyltransferase I (rat gene)	N-acetylglucosaminyltransferase	Fukuda et al, 2003	NM_001097634	GCNT1	Enzymes	P
ADH	Liver alcohol dehydrogenase	Potter et al, 2002	NM_000667	ADH1A	Enzymes	D
AID	Activation-induced cytidine deaminase	"Gourzi et al, 2007; Endo et al, 2007"	NM_020661	AICDA	Enzymes	D
AMACR	alpha-methylacyl-CoA racemase	Chen et al, 2007	NM_014324	AMACR	Enzymes	D
ARF-related protein-1	GTPase	Mueller et al, 2007	NM_003224	ARFRP1	Enzymes	D
Argininosuccinate synthetase	Arginine synthesis	"Fan et al, 2005; Brasse-Lagnel et al, 2007"	NM_000050	ASS1	Enzymes	D
Aromatase (promoter II)	Estrogen synthesis	Brasse-Lagnel et al, 2004	NM_000103	CYP19A1	Enzymes	D
ART2.1	Ecto-ADP-ribosyltransferase	Hong et al, 2007	NM_004314	ART1	Enzymes	D
alpha 1ACT	Anti-chymotrypsin	Kiss et al, 2005	NM_001085	SERPINA3	Enzymes	D
BACE-1	beta site APP cleaving enzyme	"Sambamurti et al, 2004; Rossner et al, 2006: Bourne et al, 2007; Bruggia-Prevot et al, 2008"	NM_012104	BACE1	Enzymes	D
Btk	Bruton’s Tyrosine kinase	Yu et al, 2008	NM_000061	BTK	Enzymes	D
Cathepsin B	Lysosomal cysteine protease	Bien et al, 2004	NM_001908	CTSB	Enzymes	D
Cathepsin L	Lysosomal cysteine protease	Seth et al, 2003	NM_001912	CTSL1	Enzymes	P
cdk6	Cell-dependent kinase 6	Iwanaga et al, 2008		CDK6	Enzymes	D
Ceramide glycosyltransferase	Glycosphingolipid	Ichikawa et al, 1998	NM_020120	UGCGL1	Enzymes	P
Chitinase 3-like protein	Chitinase	Recklies et al, 2005	NM_001276	CHI3L1	Enzymes	D
cis-retinoid/androgen dehydrogenase type 1 (CRAD1)	Short chain dehydrogenase	Chai et al, 2001	NM_080436	Rdh1	Enzymes	P
cis-retinoid/androgen dehydrogenase type 2 (CRAD2)	Short chain dehydrogenase	Tomita et al, 2000	NM_017473	Rdh7	Enzymes	P
Collagenase 1	Matrix metalloproteinase	Vincenti et al, 1998	NM_002421	MMP1	Enzymes	D
Dihydrodiol dehydrogenase	Oxidoreductase, oxidation of trans-hydodiols	Ciaccio et al, 1996	NM_00135	AKR1C1	Enzymes	P
DYPD	Dihydropyrimidine dehydrogenase	Ukon et al, 2005	NM_000110	DPYD	Enzymes	P
DNASIL2	DNAse-like endonuclease	Shiokawa et al, 2004	NM_001374	DNASE1L2	Enzymes	D
EL	Endothelial lipase	Kempe et al, 2005	NM_006033	LIPG	Enzymes	D
ENO2	Enolase 2 gamma	Carter et al, 2002	NM_001975	ENO2	Enzymes	P
GAD67	Glutamic acid decarboxylase	Szabo et al, 1996	NM_000817	GAD1	Enzymes	P
GD3-synthase	Sialyltransferase	Zeng et al, 1998: Kang et al, 2007	NM_003034	ST8SIA1	Enzymes	D
gp91 phox	Subunit of NADPH oxidase	Anrather et al, 2006	NM_007052	NOX1	Enzymes	D
Gelatinase B	Matrix metalloproteinase	He, 1996	NM_004994	MMP9	Enzymes	D
GSTP1-1	Glutathione S-transferase	Xia et al, 1996	NM_000852	GSTP1	Enzymes	D
Glutamate-cysteine ligase	Glutathione S-transferase synthesis enzyme	"Yang et al, 2001; Nagashima et al, 2007"	NM_001498	GCLC	Enzymes	D
GCLC	Glutamate-cysteine ligase catalytic subunit	Yang et al, 2005	NM_001498	GCLC	Enzymes	D
Glutamate-cysteine ligase modifier	Glutathione S-transferase synthesis enzyme	Yang et al, 2001	NM_002061	GCLM	Enzymes	P
gamma glutamylcysteine synthetase	Glutatamylcysteine synthesis	Cheng et al, 2005	NM_001498	GCLC	Enzymes	P
Glucose l-6-phosphate dehydrogenase	Hexose monophosphate	Garcia-Nogales et al, 1999	NM_000402	G6PD	Enzymes	P
Glucose-6-phosphatase	Hexose phosphatase	Xu et al, 2007	NM_000151	G6PC	Enzymes	D
GnRH II	Gonadotropin-releasing hormone II	Hoo et al, 2007	NM_001501	GNRH2	Enzymes	D
Granzyme B	NK cell cytotoxicity	Huang et al, 2006	NM_004131	GZMB	Enzymes	D
Soluble Guanylyl cyclase alpha (1)	Receptor for NO	Vazquez-Padron et al, 2004	NM_000855	GUCY1A2	Enzymes	P
Heparanase	Cleaves heparin	Cao et al, 2005	NM_006665	HPSE	Enzymes	P
HO-1	Hemeoxygenase	"Lavrovsky et al, 1994; Rushworth & O’Connell, 2004; Wu et al, 2004; Lin et al, 2007"	NM_002133	HMOX1	Enzymes	D
Hyaluronan synthase	Synthesizes hyaluronic acid	"Ohkawa et al, 1999; Kim, 2006; Saavalainen et al, 2007"	NM_001523	HAS1	Enzymes	D
11bHSD2	11beta-hydroxysteroid dehydrogenase type 2	Kostadinova et al, 2005	NM_000196	HSD11B2	Enzymes	D
17bHSD	17beta-hydroxysteroid dehydrogenase	Villar et al, 2007	NM_014234	HSD17B8	Enzymes	P
H+-K+ATPase alpha2	Role in potassium homeostasis	"Zhang & Kone, 2002;Saha et al 2008"	NM_000702	ATP1A2	Enzymes	D
Iodothyronine deiodinase (type 2)	Converts T4 to T3	"Fekete et al, 2003; Zeold et al, 2006"	NM_000793	DIO2	Enzymes	D
Indoleamine 2,3-dioxygenase	Enzyme for Trp synthesis	Ogasawara et al, 2009	NM_002164	IDO1	Enzymes	P
Lipocalin-type prostaglandin D synthase (L-PGDS)	Prostaglandin D2 synthase in brain	Fujimori et al, 2003	NM_000954	PTGDS	Enzymes	D
Lysozyme	Hydrolyzes bacterial cell walls	Phi van, 1996	NM_000239	LYZ	Enzymes	D
Mthfr	Methylenetetrahydrofolate reductase	Pickell et al, 2005	NM_005957	MTHFR	Enzymes	D
MKP-1	MAP kinase phosphatase	Zhou et al, 2003	NM_004417	DUSP1	Enzymes	P
MMP-3, matrix metalloproteinaase-3	Secreted collagenase involved in metastasis	Borghaei et al, 2004	NM_002422	MMP3	Enzymes	D
MMP-9, matrix metalloproteinaase-9	Secreted collagenase involved in metastasis	"Bond et al, 1998; Farina et al, 1999; Yan et al, 2004"	NM_004994	MMP9	Enzymes	D
MLCK	(Long) Myosin light chain kinase	Graham et al, 2006	NM_053025	MYLK	Enzymes	D
iNOS	Inducible nitric oxide synthase	"Morris et al, 2003; Guo et al, 2006; Hughes et al, 2008"	NM_000625	NOS2A	Enzymes	D
n-NOS	Neuronal nitric oxide synthase	"Nakata et al, 2006; Li et al, 2007a, 2007b"	NM_000620	NOS1	Enzymes	D
PDE7A1	Phosphodiesterase 7A1	Torras-Llort, & Azorin, 2003	NM_002603	PDE7A	Enzymes	P
PIM-1	Ser/Thr kinase	Zhu et al, 2002	NM_002648	PIM1	Enzymes	D
Plk3	Polo-like (Ser/Thr) kinase 3	Li et al, 2005	NM_004073	PLK3	Enzymes	D
PIK3CA	Phosphatidylinositol 3-kinase catalytic subunit	Yang et al, 2008	NM_006218	PIK3CA	Enzymes	D
PP5	Protein phosphatase 5	Matsuda et al, 2003	NM_006247	PPP5C	Enzymes	P
PKAalpha	Protein kinase A isoform	Kaltschmidt et al, 2006	NM_002730	PRKACA	Enzymes	D
PKCdelta	Protein kinase D isoform	Suh et al, 2003	NM_006254	PRKCD	Enzymes	D
PLCdelta 1	Phospholipase C isoform	Kim et al, 2003	NM_006225	PLCD1	Enzymes	D
PTGIS, prostaglandin synthase	Prostaglandin synthase	Yokoyama et al, 1996	NM_000961	PTGIS	Enzymes	P
PGES, prostaglandin E synthase	Prostaglandin synthase	Zhou et al, 2003	NM_004878	PTGES	Enzymes	P
PTP1B	Protein tyrosine phosphatase 1B	Zabolotny et al, 2008	NM_002827	PTPN1	Enzymes	D
PTHrP	Parathryroid hormone related protein	Nadella et al, 2007	NM_002820	PTHLH	Enzymes	D
RACK1	Receptor for Activated C kinase	Choi et al, 2003	NM_006098	GNB2L1	Enzymes	D
REV3	DNA polymerase zeta	Yu et al, 2004	NM_002912	REV3L	Enzymes	P
Slfn-2	Schlafen-2 DNA/RNA helicase	Sohn et al, 2007	NM_011408	Slfn2	Enzymes	D
Serpin 2A	Serine protease	Hampson et al, 2001	XM_372532	SERPINA2	Enzymes	D
SIAT1	Sialyltransferase	Lo & Lau, 1999	NM_173216	ST6GAL1	Enzymes	D
SNARK	SNF1/AMPK-related kinase	Legembre et al, 2004	NM_030952	NUAK2	Enzymes	D
SSAT	Spermidine/spermine N1-acetyltransferase	Babbar et al, 2006	NM_002970	SAT1	Enzymes	D
SUV3	ATP-dependent RNA and DNA helicase	Minczuk et al, 2005	NM_003171	SUPV3L1	Enzymes	P
TERT	Telomerase catalytic subunit	Yin et al, 2000: Hrdlickova et al, 2006	NM_198253	TERT	Enzymes	D
Transglutaminase	Forms isopeptide bonds	Mirza et al, 1997	NM_000359	TGM1	Enzymes	D
TTG	Tissue transglutaminase	Chen et al, 2008	NM_004613	TGM2	Enzymes	D
Type II-secreted phospholipase A2	Proinflammatory phospholipase	Couturier et al, 1999	NM_000437	PAFAH2	Enzymes	D
Uridine phosphorylase	5-fluorouracil and capecitabine metabolism	Wan et al, 2006	NM_003364	UPP1	Enzymes	D
Xanthine Dehydrogenase	Oxidative metabolism of purines	Xu et al, 1996	NM_000379	XDH	Enzymes	P
ABCG5 (bovine)	ATP-binding cassette sterol transporters	Viturro et al, 2006	NM_022436	ABCG5	Miscellaneous	P
ABCG8 (bovine)	ATP-binding cassette sterol transporters	Viturro et al, 2006	NM_022437	ABCG8	Miscellaneous	D
AbetaH-J-J	Tripartite gene: aspartyl-beta-hydroxylase, junctin), junctate	Feriotto et al, 2005	NM_004318	ASPH	Miscellaneous	D
alpha-1 acid glycoprotein	Serum protein	Mejdoubi et al, 1999	NM_000607	ORM1	Miscellaneous	D
alpha-fetoprotein	Liver cancer marker	Cavin et al, 2004	NM_001134	AFP	Miscellaneous	D
AMH	Anti-Mullerian hormone	Lukas-Croisier et al, 2003	NM_000479	AMH	Miscellaneous	D
beta-amyloid	Alzheimer’s precursor	Song & Lahiri, 1998	NM_000484	A4	Miscellaneous	P
APOBEC2	Apolipoportein B mRNA-editing enzyme catalytic subunit 2	Matsumoto et al, 2006	NM_006789	APOBEC2	Miscellaneous	D
Apolipoprotein C III	Apoprotein of HDL	Gruber et al, 1994	NM_000040	APOC3	Miscellaneous	D
Apolipoprotein D	Plasma lipocalin	Do Carmo et al, 2007	NM_001647	APOD	Miscellaneous	D
Apolipoprotein E	Protein assoc. with Alzheimers	"Lahiri, 2004; Du et al, 2005"	NM_000041	APOE	Miscellaneous	D
AQP4	Aquaporin 4	Ito et al, 2006	NM_001650	AQP4	Miscellaneous	D
Biglycan	Connective tissue proteoglycan	Ungefroren & Krull, 1996	NM_001711	BGN	Miscellaneous	P
BRCA2	Breast Cancer Susceptibility protein-2	Wu et al, 2000	NM_000059	BRCA2	Miscellaneous	D
Calsarcin-1	Muscle cell calcineurin-interacting protein	Wang et al, 2007	NM_021245	MYOZ1	Miscellaneous	D
Caveolin-1	Lipid raft protein	Deregowski et al, 2002	NM_001753	CAV1	Miscellaneous	P
p21-CIP1	Cyclin-dependent kinase inhibitor	Hinata et al, 2003	NM_000389	CDKN1A	Miscellaneous	P
Claudin-2	Gap junction protein	Yamamoto et al, 2004	NM_020384	CLDN2	Miscellaneous	P
a2(I) collagen	Type I collagen	"Novitskiy et al, 2004; Nieto, 2007"	NM_000089	COL1A2	Miscellaneous	D
Connexin32	Gap junction protein	Yamamoto et al, 2004	NM_000166	GJB1	Miscellaneous	P
Cyclin D1	Cell-cycle regulation	"Guttridge et al, 1999; Hinz et al, 1999; Toualbi-Abed et al, 2008"	NM_053056	CCND1	Miscellaneous	D
Cyclin D2	Cell-cycle regulation	"Huang et al, 2004; Iwanaga et al, 2008"	NM_001759	CCND2	Miscellaneous	D
Cyclin D3	Cell-cycle regulation	Wang et al, 1996	NM_001760	CCND3	Miscellaneous	P
DIF2	Monocyte differentiation gene	Witcher et al, 2007	NM_003897	IER3	Miscellaneous	D
DMT1	Divalent metal ion transporter	Paradkar et al, 2005	NM_000617	SLC11A2	Miscellaneous	D
Elafin	Proteinase inhibitor	Bingle et al, 2001	NM_002638	SKALP, PI3	Miscellaneous	D
Endothelin 1	Vasoconstrictor peptide/mitogen	Quehenberger et al, 2000	NM_001955	EDN1	Miscellaneous	D
Ephrin-A1	Cell-cycle regulation	Deregowski et al, 2002	NM_005232	EPHA1	Miscellaneous	D
Factor VIII	Hemostasis	Figueiredo & Brownlee, 1995	NM_000132	F8	Miscellaneous	D
Ferritin Heavy Chain	Anti-oxidant	Kwak et al, 1995	NM_002032	FTH1	Miscellaneous	D
Gadd45beta	DNA repair/cell cycle	"De Smaele et al, 2001; Qiu et al, 2004"	NM_015675	GADD45B	Miscellaneous	D
Galpha i2	G protein	Arinze & Kawai, 2005	NM_002070	GNAI2	Miscellaneous	D
GIF	Cys-rich metal binding protein	Hinata et al, 2003	NM_005954	MT3	Miscellaneous	P
Galectin 3	b-galactosidase-binding lectin	Hsu et al, 1996	NR_003225	LGALS3	Miscellaneous	D
GBP-1	GTPase guanylate binding protein	Naschberger et al, 2004	NM_002053	GBP1	Miscellaneous	D
epsilon-Globin	Globin protein	Hou et al, 2002, 2004	NM_005330	HBE1	Miscellaneous	D
zeta-Globin	Globin protein	Wang & Liebhaber, 1999	NM_005332	HBZ	Miscellaneous	D
GS3686	Homology to microtubule aggregating protein	Carter et al, 2002	NM_006820	IFI44L	Miscellaneous	P
Hair K5 keratin	Hair keratin protein	Gilon et al, 2007	NM_000424	KRT5	Miscellaneous	D
HCCS1	Hepatocarcinoma suppressor 1	Zhu et al, 2006	NM_018289	VPS53	Miscellaneous	P
HMG14	High mobility group 14	Walker & Enrietto, 1996	NM_004965	HMGN1	Miscellaneous	D
IBABP	Ileal bile acid binding protein	Fang et al, 2007	NM_001445	FABP6	Miscellaneous	D
IMP2	Insulin-like growth factor-II mRNA binding protein	Cleynen et al, 2007	NM_000597	IGFBP2	Miscellaneous	D
K3 Keratin	Intermediate filament protein	Wu et al, 1994	NM_057088	KRT3	Miscellaneous	D
K6b Keratin	Intermediate filament protein	Komine et al, 2000	NM_005555	KRT6B	Miscellaneous	D
K15 Keratin	Intermediate filament protein	Radoja et al, 2004	NM_002275	KRT15	Miscellaneous	D
Lactoferrin	Milk protein	Zheng et al, 2005	NM_002343	LTF	Miscellaneous	P
Laminin B2 Chain	Basement membrane protein	Richardson et al, 1995	NM_002292	LAMB2	Miscellaneous	D
Lipocalin-2	Iron-siderophore-binding protein	Fujino et al, 2005	NM_005564	LCN2	Miscellaneous	D
Mts1	Multiple tumor suppressor	Tulchinsky et al, 1997	NM_002961	S100A4	Miscellaneous	D
MNE1	Monocyte/neutrophil elastase inhibitor	Zeng et al, 2000	NM_030666	SERPINB1	Miscellaneous	D
Mucin (MUC-2)	Airway defense glycoprotein	"Jono et al, 2002; Lee et al, 2000"	NM_002457	MUC2	Miscellaneous	D
Myelin basic protein	Neural sheath	Paez et al, 2006	NM_001025081	MBP	Miscellaneous	D
MCT1	Monocarboxylate transporter isoform 1	Borthakur et al, 2007	NM_003051	SLC16A1	Miscellaneous	D
Naf1	Associates with HIV Nef	Tian et al, 2005	NM_006058	TNIP1	Miscellaneous	D
Neutrophil gelatinase-associated lipocalin	Anti-microbial protein in lung	Cowland et al, 2003	NM_005564	LCN2	Miscellaneous	D
NLF1	IL-1beta induced	Warton et al, 2004	NM_207322	FAM148A	Miscellaneous	D
p11	Annexin II ligand	Huang et al, 2003	NM_002966	S100A10	Miscellaneous	P
PA28 alpha	Proteasome activator	Ossendorp et al, 2005	NM_006263	PSME1	Miscellaneous	D
PA28 beta	Proteasome activator	Ossendorp et al, 2005	NM_002818	PSME2	Miscellaneous	D
PAI-1	Plasminogen activator inhibitor	Hou et al, 2004	NM_000602	SERPINE1, PAI-1	Miscellaneous	D
Pax8	Paired box gene	Okladnova et al, 1997	NM_003466	PAX8	Miscellaneous	P
PCBD	6-pyruvoyl-tetrahydropterin synthase	Carter et al, 2002	NM_000317	PTS	Miscellaneous	P
Perforin	Pore-forming effector molecule	Zhou et al, 2002	NM_005041	PRF1	Miscellaneous	D
PGC-1?	mitochondrial regulator PPAR-? coactivator 1?	Bakkar et. al. 2012	NM_001172698.1	PPARGC1B	Miscellaneous	D
PGK1	Phosphoglycerate kinase 1	Carter et al, 2002	NM_000291	PGK1	Miscellaneous	P
POMC	Proopiomelanocortin	"Karalis et al, 2004; Asaba et al, 2007"	NM_000939	POMC	Miscellaneous	D
Pregnancy-specific glycoprotein rnCGM3	Placental expression	Wang et al, 2001	NM_019126	CGM3	Miscellaneous	D
Prodynorphin	Neuropeptide	Bakalkin et al, 1994	NM_024411	PDYN	Miscellaneous	D
Prostate-specific antigen	Serum protein in prostate cancer	Chen & Sawyers, 2002	NM_001030047	KLK3	Miscellaneous	D
PTEN	Tumor suppressor	Xia et al, 2007	NM_000314	PTEN	Miscellaneous	D
RAG-1	Immunoglobulin recombinase genes	Verkoczy et al, 2005	NM_000448	RAG1	Miscellaneous	D
RAG-2	Immunoglobulin recombinase genes	Verkoczy et al, 2005	NM_000536	RAG2	Miscellaneous	D
RbAp48	Retinoblastoma-associated protein 48	Pacifico et al, 2007	NM_005610	RBBP4	Miscellaneous	D
RICK	Adaptor	Matsuda et al, 2003	NM_003821	RIPK2	Miscellaneous	P
SerpinE2	Serine protease inhibitor	Suzuki et al, 2006	NM_006216	SERPINE2	Miscellaneous	D
S100A6 (calcyclin)	Calcium binding protein	Joo et al, 2003	NM_014624	S100A6	Miscellaneous	D
SH3BGRL	SH3-binding glutamic acid-rich protein	Majid et al, 2005	NM_003022	SH3BGRL	Miscellaneous	D
SK2 channels	Small-conductance Ca2+-activated channels	Kye et al, 2007	NM_021614	KCNN2	Miscellaneous	D
Skp2	S-phase kinase-associated protein 2	Schneider et al, 2006	NM_005983	SKP2	Miscellaneous	D
Spergen-1	Sperm-specific mitochondrial protein	Matsuoka et al, 2004	NM_174927	SPATA19	Miscellaneous	P
SWS1	Rainbow trout opsin	Dann et al, 2004	NM_001708	OPN1SW	Miscellaneous	D
Syncytin-1	Env glycoprotein of endogenous human retrovirus	Mameli et al, 2007	NM_014590	ERVWE1	Miscellaneous	D
Syndecan-4	Heparin sulfate proteoglycan	Zhang et al, 1999	NM_002999	SDC4	Miscellaneous	D
TAUT	Taurine Uptake Transporter	Mochizuki et al, 2005	NM_003043	SLC6A6	Miscellaneous	D
TASK-2	Tandem P domain potassium channel	Brazier et al, 2005	NM_003740	KCNK5	Miscellaneous	D
Tissue factor pathway inhibitor-2 (TFPI-2)	Serine protease inhibitor	"Konduri et al, 2003a, 2003b; Hube et al, 2003"	NM_006528	TFPI2	Miscellaneous	P
Transferrin (mosquito)	Probable iron transport protein	Harizanova et al, 2005	NM_001063	TF	Miscellaneous	P
TRIF	TIR-containing adaptor protein inducing interferon beta	Hardy et al, 2004	NM_014261	TICAM1	Miscellaneous	D
TRPC1	Thrombin activation of protease-activated receptor-1	Paria et al, 2006	NM_003304	TRPC1	Miscellaneous	D
UBE2M	Ubiquitin conjugating enzyme E2M	Carter et al, 2002	NM_003969	UBE2M	Miscellaneous	P
UCP-2	Uncoupling protein-2	Lee et al, 1999	NM_003355	UCP2	Miscellaneous	P
Uroplakin Ib	Surface structural protein on urothelial cells	Varga et al, 2004	NM_006952	UPK1B	Miscellaneous	D
25-hydroxyvtamin D3 1alpha hydroxylase	Enzyme for liver vitamin D3 production	Ebert et al, 2004	NM_000785	CYP27B1	Miscellaneous	D
Vimentin	Intermediate filament protein	"Lilienbaum et al, 1990; Zheng et al, 2005"	NM_003380	VIM	Miscellaneous	D
a1-antitrypsin	Protease inhibitor	Ray et al, 1995	NM_000295	SERPINA1	Miscellaneous	D
Gro-1	"Growth regulated oncogene; chemokine"	Wood, 1995	NM_001511	CXCL1	Miscellaneous	D
